date,open,high,low,close,volume
2022-02-02 00:00:00+05:30,949.9,1079.85,901.25,913.2,6369
2022-02-03 00:00:00+05:30,913.2,944.5,901.15,905.6,2564
2022-02-04 00:00:00+05:30,934.9,980.0,904.55,934.75,5833
2022-02-07 00:00:00+05:30,975.0,975.0,900.0,919.1,1603
2022-02-08 00:00:00+05:30,945.0,945.0,877.75,896.25,971
2022-02-09 00:00:00+05:30,900.05,910.0,862.0,874.15,1430
2022-02-10 00:00:00+05:30,856.8,970.0,856.7,935.0,3566
2022-02-11 00:00:00+05:30,942.9,942.9,875.55,887.65,1179
2022-02-14 00:00:00+05:30,825.0,889.95,799.6,808.5,2026
2022-02-15 00:00:00+05:30,808.0,875.75,701.55,808.55,4985
2022-02-16 00:00:00+05:30,823.4,867.0,781.6,819.8,1203
2022-02-17 00:00:00+05:30,812.4,846.55,810.0,818.65,894
2022-02-18 00:00:00+05:30,856.4,856.4,789.95,800.35,1254
2022-02-21 00:00:00+05:30,745.5,960.4,745.5,834.75,2552
2022-02-22 00:00:00+05:30,800.05,817.45,765.15,787.95,1514
2022-02-23 00:00:00+05:30,807.85,807.85,765.0,770.65,1152
2022-02-24 00:00:00+05:30,749.45,764.0,680.0,699.65,1329
2022-02-25 00:00:00+05:30,670.0,820.0,650.0,775.2,2328
2022-02-28 00:00:00+05:30,760.05,924.3,735.15,809.3,5594
2022-03-02 00:00:00+05:30,800.0,820.05,756.25,803.2,490
2022-03-03 00:00:00+05:30,787.7,826.1,787.7,819.8,525
2022-03-04 00:00:00+05:30,808.9,814.95,784.15,792.35,339
2022-03-07 00:00:00+05:30,814.0,814.0,712.65,744.25,1095
2022-03-08 00:00:00+05:30,745.65,768.8,742.0,759.6,209
2022-03-09 00:00:00+05:30,775.05,786.6,735.0,747.5,1109
2022-03-10 00:00:00+05:30,785.45,848.8,746.3,761.25,3766
2022-03-11 00:00:00+05:30,786.0,799.0,690.0,728.1,7482
2022-03-14 00:00:00+05:30,793.6,798.9,708.0,737.8,3048
2022-03-15 00:00:00+05:30,760.85,760.85,687.2,698.85,4945
2022-03-16 00:00:00+05:30,720.0,760.0,702.05,727.2,2103
2022-03-17 00:00:00+05:30,751.05,759.0,723.95,742.55,1095
2022-03-21 00:00:00+05:30,757.4,759.0,695.1,711.35,8419
2022-03-22 00:00:00+05:30,710.75,739.95,701.1,731.6,1050
2022-03-23 00:00:00+05:30,729.1,738.9,700.0,709.1,2544
2022-03-24 00:00:00+05:30,707.75,725.0,703.0,710.75,1321
2022-03-25 00:00:00+05:30,715.05,720.85,687.35,695.2,5778
2022-03-28 00:00:00+05:30,720.4,729.0,692.0,705.95,1140
2022-03-29 00:00:00+05:30,702.1,720.3,662.0,675.85,3152
2022-03-30 00:00:00+05:30,725.0,725.0,680.95,703.6,1113
2022-03-31 00:00:00+05:30,722.95,761.65,705.55,757.1,6626
2022-04-01 00:00:00+05:30,767.45,799.0,747.45,789.85,3900
2022-04-04 00:00:00+05:30,789.85,822.0,775.25,805.1,2025
2022-04-05 00:00:00+05:30,805.05,843.4,791.05,810.3,2500
2022-04-06 00:00:00+05:30,849.0,849.0,803.0,810.5,1207
2022-04-07 00:00:00+05:30,801.0,841.05,801.0,814.9,1790
2022-04-08 00:00:00+05:30,825.7,832.95,800.0,807.9,1432
2022-04-11 00:00:00+05:30,835.0,840.4,819.25,830.85,1069
2022-04-12 00:00:00+05:30,875.0,878.0,800.0,805.15,1108
2022-04-13 00:00:00+05:30,824.95,855.45,814.25,838.45,2369
2022-04-18 00:00:00+05:30,844.0,845.0,830.0,841.1,1204
2022-04-19 00:00:00+05:30,869.95,869.95,832.0,851.8,4496
2022-04-20 00:00:00+05:30,850.0,859.9,817.0,842.0,3973
2022-04-21 00:00:00+05:30,865.0,869.0,840.05,862.8,1360
2022-04-22 00:00:00+05:30,875.0,899.0,844.4,853.1,3232
2022-04-25 00:00:00+05:30,879.55,879.55,810.0,829.95,711
2022-04-26 00:00:00+05:30,860.0,860.0,805.0,811.05,1253
2022-04-27 00:00:00+05:30,816.85,824.0,790.0,816.65,605
2022-04-28 00:00:00+05:30,809.0,859.4,803.65,848.75,990
2022-04-29 00:00:00+05:30,878.7,878.7,810.45,831.2,1687
2022-05-02 00:00:00+05:30,837.0,839.95,813.5,822.0,1139
2022-05-04 00:00:00+05:30,815.55,832.6,780.0,787.7,2241
2022-05-05 00:00:00+05:30,792.9,792.9,740.0,744.6,3669
2022-05-06 00:00:00+05:30,768.05,768.05,700.1,734.3,2208
2022-05-09 00:00:00+05:30,749.0,749.0,643.95,671.2,7329
2022-05-10 00:00:00+05:30,661.95,710.05,660.7,700.65,816
2022-05-11 00:00:00+05:30,715.0,720.0,608.9,631.3,5970
2022-05-12 00:00:00+05:30,630.4,674.0,605.0,661.05,2392
2022-05-13 00:00:00+05:30,713.85,713.85,641.75,672.0,911
